时间: 2024/12/1 01:32:57, test电机: 1500, yaw电机: 0
时间: 3/25/2025, 11:07:25 PM, test电机: 7400, yaw电机: 4390
时间: 3/25/2025, 11:07:31 PM, test电机: 7400, yaw电机: 4360
时间: 3/25/2025, 11:15:48 PM, test电机: 7400, yaw电机: 4380
时间: 3/25/2025, 11:15:53 PM, test电机: 7400, yaw电机: 4385
时间: 3/25/2025, 11:15:59 PM, test电机: 7400, yaw电机: 4382
时间: 3/25/2025, 11:16:03 PM, test电机: 7400, yaw电机: 4380
时间: 3/25/2025, 11:16:57 PM, test电机: 7400, yaw电机: 4390
时间: 3/25/2025, 11:17:03 PM, test电机: 7400, yaw电机: 4385
时间: 3/25/2025, 11:52:02 PM, test电机: 7400, yaw电机: 4370
时间: 3/25/2025, 11:52:10 PM, test电机: 7400, yaw电机: 4360
时间: 3/25/2025, 11:52:24 PM, test电机: 7400, yaw电机: 4300
时间: 3/25/2025, 11:52:32 PM, test电机: 7400, yaw电机: 4330
时间: 3/25/2025, 11:52:58 PM, test电机: 7450, yaw电机: 4330
时间: 3/25/2025, 11:53:28 PM, test电机: 7480, yaw电机: 4330
时间: 3/25/2025, 11:53:56 PM, test电机: 7450, yaw电机: 4320
时间: 3/25/2025, 11:54:01 PM, test电机: 7450, yaw电机: 4300
时间: 3/25/2025, 11:54:06 PM, test电机: 7450, yaw电机: 4340
时间: 3/25/2025, 11:54:12 PM, test电机: 7450, yaw电机: 4350
时间: 3/25/2025, 11:57:59 PM, test电机: 7450, yaw电机: 4380
时间: 3/25/2025, 11:58:06 PM, test电机: 7450, yaw电机: 4400
时间: 3/25/2025, 11:58:13 PM, test电机: 7450, yaw电机: 4420
时间: 3/26/2025, 12:05:11 AM, test电机: 7450, yaw电机: 4480
时间: 3/26/2025, 12:05:17 AM, test电机: 7450, yaw电机: 4520
时间: 3/26/2025, 12:05:22 AM, test电机: 7450, yaw电机: 4550
时间: 3/26/2025, 12:05:26 AM, test电机: 7450, yaw电机: 4590
时间: 3/26/2025, 12:05:32 AM, test电机: 7450, yaw电机: 4620
时间: 3/26/2025, 12:05:39 AM, test电机: 7450, yaw电机: 4625
时间: 3/26/2025, 12:06:40 AM, test电机: 7450, yaw电机: 4600
时间: 3/26/2025, 12:06:47 AM, test电机: 7450, yaw电机: 4550
时间: 3/26/2025, 12:06:51 AM, test电机: 7450, yaw电机: 4500
时间: 3/26/2025, 12:06:56 AM, test电机: 7450, yaw电机: 4510
时间: 3/26/2025, 12:07:00 AM, test电机: 7450, yaw电机: 4530
时间: 3/26/2025, 12:07:08 AM, test电机: 7450, yaw电机: 4480
时间: 3/26/2025, 12:08:37 AM, test电机: 7480, yaw电机: 4480
时间: 3/26/2025, 12:09:00 AM, test电机: 7500, yaw电机: 4480
时间: 3/26/2025, 12:20:04 AM, test电机: 7500, yaw电机: 4400
时间: 3/26/2025, 12:20:11 AM, test电机: 7500, yaw电机: 4420
时间: 3/26/2025, 12:20:18 AM, test电机: 7500, yaw电机: 4380
时间: 3/26/2025, 12:20:23 AM, test电机: 7500, yaw电机: 4360
时间: 3/26/2025, 12:20:32 AM, test电机: 7500, yaw电机: 4350
时间: 3/26/2025, 12:20:38 AM, test电机: 7500, yaw电机: 4330
时间: 3/26/2025, 12:21:10 AM, test电机: 7800, yaw电机: 4360
时间: 3/26/2025, 12:21:35 AM, test电机: 7900, yaw电机: 4360
时间: 3/26/2025, 12:27:25 AM, test电机: 7900, yaw电机: 4400
时间: 3/26/2025, 12:27:30 AM, test电机: 7900, yaw电机: 4490
时间: 3/26/2025, 12:28:07 AM, test电机: 7900, yaw电机: 4450
时间: 3/26/2025, 12:28:11 AM, test电机: 7900, yaw电机: 4420
时间: 3/26/2025, 12:41:14 AM, test电机: 8200, yaw电机: 4420
时间: 3/26/2025, 12:41:36 AM, test电机: 8300, yaw电机: 4420
时间: 3/26/2025, 12:42:04 AM, test电机: 8200, yaw电机: 4450
时间: 3/26/2025, 12:42:30 AM, test电机: 8200, yaw电机: 4500
时间: 3/26/2025, 12:47:57 AM, test电机: 8200, yaw电机: 4550
时间: 3/26/2025, 12:48:39 AM, test电机: 8200, yaw电机: 4600
时间: 3/26/2025, 12:49:20 AM, test电机: 8200, yaw电机: 4650
时间: 3/26/2025, 1:04:36 AM, test电机: 8200, yaw电机: 4400
时间: 3/26/2025, 1:04:43 AM, test电机: 8200, yaw电机: 4300
时间: 3/26/2025, 1:05:18 AM, test电机: 8200, yaw电机: 4350
时间: 3/26/2025, 1:05:53 AM, test电机: 8250, yaw电机: 4300
时间: 3/26/2025, 1:05:57 AM, test电机: 8250, yaw电机: 4200
时间: 3/26/2025, 1:06:02 AM, test电机: 8250, yaw电机: 4400
时间: 3/26/2025, 1:06:25 AM, test电机: 8250, yaw电机: 4500
时间: 3/26/2025, 1:06:31 AM, test电机: 8250, yaw电机: 4450
时间: 3/26/2025, 1:07:20 AM, test电机: 8250, yaw电机: 4500
时间: 3/26/2025, 1:07:44 AM, test电机: 8250, yaw电机: 4520
时间: 3/26/2025, 1:08:12 AM, test电机: 8250, yaw电机: 4530
时间: 3/26/2025, 1:08:36 AM, test电机: 8250, yaw电机: 4540
时间: 3/26/2025, 1:12:36 AM, test电机: 8250, yaw电机: 4550
时间: 3/26/2025, 8:53:15 PM, test电机: 8500, yaw电机: 4000
时间: 3/26/2025, 8:53:24 PM, test电机: 8500, yaw电机: 9000
